dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
8,2,3,4619.01 ,0.71 ,,12.5,5.1,4,11195.50 ,0.47 ,,,,,,,,10,5.6,6,15314.832,0.988982961
8,2,3,5259.65 ,0.66 ,,12.5,5.1,6,14821.28 ,0.64 ,,,,,,,,10,1,6,12341.7216,0.965850428
8,3,3,5765.39 ,0.62 ,,12.5,5.1,4,11195.50 ,0.58 ,,,,,,,,10,1.2,6,12525.9264,0.948456913
8,3.2,3,5151.98 ,0.70 ,,12.5,5.1,6,19677.52 ,0.72 ,,,,,,,,10,1.4,6,12710.1312,0.941902712
8,4.6,3,6574.57 ,0.64 ,,12.5,5.1,4,11929.15 ,0.73 ,,,,,,,,10,1.4,6,14001.8112,0.932385549
8,4.8,3,5862.60 ,0.73 ,,12.5,5.1,6,19191.90 ,0.95 ,,,,,,,,10,1.6,6,14204.736,0.937252164
8,4.8,3,6675.72 ,0.65 ,,12.5,5.1,4,12662.80 ,0.90 ,,,,,,,,10,1.8,6,13078.5408,0.960785136
8,1.8,4.5,7930.92 ,0.96 ,,12.5,5.1,4,14130.10 ,0.90 ,,,,,,,,10,2,6,14610.5856,0.96954985
8,1.8,4.5,8792.04 ,0.89 ,,12.5,5.1,5,12098.90 ,0.69 ,,,,,,,,10,2.2,6,13446.9504,0.990187019
8,2.8,4.5,9543.49 ,0.84 ,,12.5,5.1,7.5,19616.74 ,0.88 ,,,,,,,,10,1.4,6,8189.2512,0.72758764
8,3,4.5,8744.34 ,0.94 ,,12.5,5.1,5,14644.25 ,0.91 ,,,,,,,,10,2.6,6,7497.36,0.754832685
8,4,4.5,10445.24 ,0.82 ,,12.5,5.1,6,11907.53 ,0.60 ,,,,,,,,10,4.2,6,8297.0784,0.749303937
8,4.2,4.5,10595.53 ,0.84 ,,12.5,5.1,6,13850.03 ,0.56 ,,,,,,,,10,4.2,6,9850.8384,0.662409216
8,4.4,4.5,9693.34 ,0.94 ,,12.5,5.1,7,15715.23 ,0.67 ,,,,,,,,10,1.6,6,7652.736,0.673550859
8,4.6,4.5,9828.91 ,0.96 ,,12.5,5.1,8,13971.97 ,0.70 ,,,,,,,,10,2.2,6,7980.7104,0.674771249
8,1.4,3,4654.37 ,0.71 ,,12.5,5.1,8,15212.82 ,0.88 ,,,,,,,,10,2.8,6,9731.4048,0.650065288
8,1.4,3,5258.05 ,0.68 ,,12.5,5.1,8,17694.52 ,0.87 ,,,,,,,,10,3,6,8418.0096,0.701350302
8,2,3,5579.97 ,0.64 ,,12.7,5.5,3,15926.23 ,0.65 ,,,,,,,,10,3.6,6,10243.584,0.671559408
8,2.8,3,5319.28 ,0.67 ,,12.7,5.5,3,17232.74 ,0.63 ,,,,,,,,10,3.8,6,8855.3088,0.720977008
8,2.8,3,6009.20 ,0.64 ,,12.7,5.5,3,10700.24 ,0.47 ,,,,,,,,10,3.8,6,10371.6288,0.683820784
8,3,3,5414.27 ,0.69 ,,12.7,5.5,3,12006.74 ,0.45 ,,,,,,,,10,4,6,8964.6336,0.733116433
8,4,3,6653.05 ,0.66 ,,12.7,5.5,3,11353.49 ,0.55 ,,,,,,,,10,5,6,11139.8976,0.727870643
8,4.2,3,5984.19 ,0.72 ,,12.7,5.5,3,12659.99 ,0.53 ,,,,,,,,10,5.2,6,9620.5824,0.776928425
